Designator,Description,Manufacturer Part Number,Purchase Link,Quantity
R2,RES SMD 1.5K OHM 0.1% 1/4W 0805,ERJ-PB6B1501V,https://www.digikey.ca/product-detail/en/panasonic-electronic-components/ERJ-PB6B1501V/P20612CT-ND/6214867,1
R10,Replacement Volume Switch for Game boy,N/A,https://www.aliexpress.com/item/Replacement-Volume-Switch-for-Game-boy-for-GBA-GBC-Motherboard-Potentiomete-100pcs-lot/32830491244.html
LED1,LED3MM RED (LED),https://www.digikey.ca/product-detail/en/kingbright/WP710A10ID5V/754-1721-ND/3084187,1
U$1,SWITCH SLIDE SPDT 300MA 4V,MA12RTR,https://www.digikey.ca/product-detail/en/apem-inc/MA12RTR/679-1847-1-ND/1973774,1
"J5,J6",NOT POPULATE,NOT POPULATED,2
