Qty,Manufacture Part Number/Seeed SKU,Parts
4,CL21F104ZBCNNNC,"C1, C4, C6, C7"
3,RNCP0805FTD100R,"R2, R4, R5"
1,RNCP0805FTD10K,R6
1,F931A106MAA,C5
1,ABM3-16.000MHZ-B2-T,X3
2,CL21C180JBANNNC,"C2, C3"
2,RMCF0805JT220R,"R1, R3"
1,0ZCJ0050FF2G,L1
1,ATMEGA32U4-AU,U$2
3,LTST-C191KRKT,"LEDPWR, LEDRX, LEDTX"
1,690-005-299-043,CN1
